File	File
Edit	Modifica
View	Visualizza
Insert	Inserisci
Item	Elemento
Items	Elementi
Track	Traccia
Tracks	Tracce
Options	Opzioni
Actions	Azioni
Help	Aiuto
Extensions	Estensioni
New project	Nuovo progetto
New project tab	Nuova scheda progetto
Open project...	Apri progetto...
Open project	Apri progetto
Save project	Salva progetto
Save project as...	Salva progetto con nome...
Save new version of project	Salva nuova versione del progetto
Save all projects	Salva tutti i progetti
Project templates	Modelli di progetto
Recent projects	Progetti recenti
Project settings...	Impostazioni progetto...
Project Settings	Impostazioni progetto
Close project	Chiudi progetto
Close all projects	Chiudi tutti i progetti
Close all projects but current	Chiudi tutti i progetti tranne quello corrente
Quit	Esci
Undo	Annulla
Redo	Ripeti
Cut	Taglia
Copy	Copia
Paste	Incolla
Delete	Elimina
Remove	Rimuovi
Select all	Seleziona tutto
Deselect all	Deseleziona tutto
Close	Chiudi
Cancel	Annulla
Apply	Applica
OK	OK
Yes	Sì
No	No
Add	Aggiungi
Open	Apri
Save	Salva
Load...	Carica...
Save...	Salva...
Import	Importa
Export	Esporta
Browse...	Sfoglia...
Browse for file...	Sfoglia file...
Find	Trova
Filter:	Filtro:
Clear filter	Cancella filtro
Name	Nome
Name:	Nome:
Value	Valore
Value:	Valore:
Type:	Tipo:
Position:	Posizione:
Length:	Durata:
Start	Avvia
Stop	Ferma
Pause	Pausa
Play	Riproduci
Record	Registra
Recording	Registrazione
Repeat	Ripeti
Rewind	Riavvolgi
Forward	Avanti
Transport	Trasporto
Mixer	Mixer
Master	Master
Mute	Silenzia
Unmute	Riattiva audio
Solo	Solo
Unsolo	Disattiva solo
Volume	Volume
Volume:	Volume:
Pan	Pan
Pan:	Pan:
Width	Ampiezza
Width:	Ampiezza:
Channels:	Canali:
Channel:	Canale:
Input	Ingresso
Output	Uscita
Inputs	Ingressi
Outputs	Uscite
Input channels:	Canali di ingresso:
Output channels:	Canali di uscita:
Input device:	Dispositivo di ingresso:
Output device:	Dispositivo di uscita:
Audio device settings	Impostazioni dispositivo audio
Audio system:	Sistema audio:
Sample rate:	Frequenza di campionamento:
Samplerate:	Frequenza di campionamento:
Request sample rate:	Richiedi frequenza di campionamento:
Request block size:	Richiedi dimensione blocco:
Sample format:	Formato campione:
samples	campioni
File info:	Informazioni file:
Filename:	Nome file:
About REAPER	Informazioni su REAPER
Media Explorer...	Esplora media...
Media Explorer	Esplora media
Output file	File di uscita
Render status	Stato del rendering
Render...	Rendering...
Render	Esegui rendering
Rendering	Rendering
Save live output to disk (bounce)...	Salva uscita live su disco (bounce)...
Consolidate/export tracks...	Consolida/esporta tracce...
Stats/Charts	Statistiche/Grafici
Time signature:	Indicazione di tempo:
BPM basis:	Base BPM:
Wildcards	Variabili
Automatic	Automatico
Plug-ins	Plug-in
Project Directory Cleanup	Pulizia cartella progetto
Shape:	Forma:
Author:	Autore:
Word wrap	A capo automatico
Edit Marker	Modifica marcatore
Lane	Corsia
Lane:	Corsia:
Reset color	Ripristina colore
Set color...	Imposta colore...
Undo History	Cronologia annullamenti
All	Tutto
End:	Fine:
Entire project	Intero progetto
Process	Elabora
Selected	Selezionato
Time selection	Selezione temporale
Edit Region	Modifica regione
Region Manager...	Gestione regioni...
Marker Manager...	Gestione marcatori...
Free item positioning	Posizionamento libero degli elementi
Record arm	Abilita registrazione
Routing Matrix	Matrice di routing
Routing/Grouping Matrix	Matrice routing/raggruppamento
Automation mode:	Modalità automazione:
Track Envelopes	Inviluppi traccia
Navigator	Navigatore
Automation Items	Elementi di automazione
Automation items	Elementi di automazione
Enable snapping	Abilita aggancio
Snap/grid settings...	Impostazioni aggancio/griglia...
Pan Law	Legge di pan
Pan mode:	Modalità pan:
Pan law:	Legge di pan:
Import license key...	Importa chiave di licenza...
Envelopes	Inviluppi
Envelope points	Punti dell'inviluppo
Enable locking	Abilita blocco
Markers	Marcatori
Regions	Regioni
Keyboard	Tastiera
Reverse	Inverti
Docker	Dock
Auto trim/split items	Rifila/dividi automaticamente gli elementi
Mode:	Modalità:
Threshold:	Soglia:
Quantize to:	Quantizza a:
notes	note
Searching...	Ricerca in corso...
Reset to defaults	Ripristina valori predefiniti
FX	FX
Muted	Silenziato
Notes	Note
Enable metronome	Abilita metronomo
MIDI channel:	Canale MIDI:
Virtual MIDI keyboard	Tastiera MIDI virtuale
Big Clock	Orologio grande
Output format:	Formato di uscita:
Screensets/Layouts	Set di schermate/Layout
Layouts	Layout
Horizontal zoom	Zoom orizzontale
Playback	Riproduzione
Device name:	Nome dispositivo:
(none)	(nessuno)
Scale:	Scala:
Clear	Cancella
Custom actions:	Azioni personalizzate:
